Username,Bio,PostCount,AvatarDefault,AvatarURL,JoinedDate,Followers,Following,HeuristicScore,HeuristicReasons,AIScore,AIJustification
karanja-max,,1,False,,,0,0,1,No bio,,
kasparsj,,0,False,,,0,0,2,No bio; No posts,,
kazem_tabatabaee_136,,0,False,,,0,0,2,No bio; No posts,,
kemtch19,,0,False,,,0,0,2,No bio; No posts,,
kevin_da44730a86aac383ab3,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
kevins90,,0,False,,,0,0,2,No bio; No posts,,
kevivs,,0,False,,,0,0,2,No bio; No posts,,
kgodiso_lebese_88,,0,False,,,0,0,2,No bio; No posts,,
khalil_xmodz_deddad897104,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
kiiweb_digitalsolutions,,0,False,,,0,0,2,No bio; No posts,,
kijo,,0,False,,,0,0,2,No bio; No posts,,
kislay_kashyap_06b969675d,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
klumz33,,0,False,,,0,0,2,No bio; No posts,,
kubetsupport,,0,False,,,0,0,2,No bio; No posts,,
kwanele_5926c298436c927dc,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
lawn_meower,,0,False,,,0,0,2,No bio; No posts,,
lepara,,0,False,,,0,0,2,No bio; No posts,,
liam_vu,,0,False,,,0,0,2,No bio; No posts,,
louis_lau_c36fafe1ab1a8b3,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
lovekgarg,,2,False,,,0,0,1,No bio,,
luc30509,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
luis_martin_casfid,,0,False,,,0,0,2,No bio; No posts,,
lumm20,,0,False,,,0,0,2,No bio; No posts,,
lunade,,0,False,,,0,0,2,No bio; No posts,,
malcolm_kgogobi_a27858647,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
marco_bianchi,,0,False,,,0,0,2,No bio; No posts,,
marek_9c9508fd0aed5a56219,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
markos_symeonides_0a78633,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
martinanderso,,1,False,,,0,0,1,No bio,,
matthew_ray,,0,False,,,0,0,2,No bio; No posts,,
mavericklally,,0,False,,,0,0,2,No bio; No posts,,
maxwellcross,,1,False,,,0,0,1,No bio,,
mbarzanti,,0,False,,,0,0,2,No bio; No posts,,
md_salauddin_3a5ad9b2795,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
med_benaissa_918c7563789e,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
mehdi_ghadimi_d9d518e873f,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
mehedi_hasan_4265,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
member_e303a201,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
microbion,,0,False,,,0,0,2,No bio; No posts,,
mikekilo2,,0,False,,,0,0,2,No bio; No posts,,
mirianlaw,,1,False,,,0,0,1,No bio,,
mohamed_abdelmaboud_f0bd0,,0,False,,,0,0,2,No bio; No posts,,
mohammed_qady_53623006350,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
mohapi_mofokeng_7ba144c7a,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
moula_shaik,,0,False,,,0,0,2,No bio; No posts,,
mr_hoversee,,0,False,,,0,0,2,No bio; No posts,,
mrdebonis,,0,False,,,0,0,2,No bio; No posts,,
mt_b2d96c7da63ba7b5f835,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
muhammadrayees,,0,False,,,0,0,2,No bio; No posts,,
n_l_0311333ed61607b4efb,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
